ReferenceSystem,GrainID,Age_Ma,Age_1sigma_Ma
ZrnUPb,Ref093,105.859995819971,1.41448997675839
ZrnUPb,Ref094,111.114007272253,1.50925017477691
ZrnUPb,Ref095,100.230331157047,1.17485939396391
ZrnUPb,Ref096,107.889328052205,1.21229153115853
ZrnUPb,Ref097,169.43503110644,3.2474186878392
ZrnUPb,Ref098,180.658446300031,3.15155094088411
ZrnUPb,Ref099,157.970761117631,2.6115148235834
ZrnUPb,Ref100,154.123542988446,3.1775794057339
ZrnUPb,Ref101,163.290831074117,2.90203377656367
ZrnUPb,Ref102,192.373124503456,3.12657771425199
ZrnUPb,Ref103,146.278196224631,2.74821985322585
ZrnUPb,Ref104,176.374670050193,3.07181866551389
ZrnUPb,Ref105,188.397153613251,3.43060987278781
ZrnUPb,Ref106,137.689018543954,3.56455361495408
ZrnUPb,Ref107,176.22040931213,2.8299137189182
ZrnUPb,Ref108,167.584512938106,3.37725727030522
ZrnUPb,Ref109,213.210576638989,3.10411372286998
ZrnUPb,Ref110,155.65333682803,3.03916698025564
ZrnUPb,Ref111,184.163019972326,3.09330696781802
ZrnUPb,Ref112,212.57397963141,3.34344669212285
ZrnUPb,Ref113,193.486852638995,2.9010839549315
ZrnUPb,Ref114,172.993460190728,2.77227908683646
ZrnUPb,Ref115,169.876974500244,3.12020746616924
ZrnUPb,Ref116,180.59387770956,3.38658437550583
ZrnUPb,Ref117,204.916665237451,3.31618714308728
ZrnUPb,Ref118,175.856457501756,3.18242049319168
ZrnUPb,Ref119,155.096945030175,2.92331764145915
ZrnUPb,Ref120,206.976839349283,3.21094157531418
